ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW
AL081991,              ERIKA,19910908,1800,  , TD,24.2N,49.1W,25,1011,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081991,              ERIKA,19910909,0,  , TD,25.4N,50.0W,25,1010,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081991,              ERIKA,19910909,600,  , TD,26.8N,50.9W,30,1009,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081991,              ERIKA,19910909,1200,  , TD,27.8N,52.3W,30,1007,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081991,              ERIKA,19910909,1800,  , TS,29.3N,53.1W,35,1005,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081991,              ERIKA,19910910,0,  , TS,31.2N,51.7W,40,1002,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081991,              ERIKA,19910910,600,  , TS,33.0N,49.3W,45,1000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081991,              ERIKA,19910910,1200,  , TS,34.7N,46.1W,50,998,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081991,              ERIKA,19910910,1800,  , TS,35.8N,42.5W,50,997,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081991,              ERIKA,19910911,0,  , TS,36.5N,38.7W,50,997,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081991,              ERIKA,19910911,600,  , TS,36.8N,35.0W,50,998,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081991,              ERIKA,19910911,1200,  , TS,37.0N,31.9W,45,1000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081991,              ERIKA,19910911,1800,  , TS,37.1N,29.3W,40,1003,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081991,              ERIKA,19910912,0,  , TS,37.3N,27.2W,35,1007,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081991,              ERIKA,19910912,300, L, TS,37.7N,25.9W,35,1009,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081991,              ERIKA,19910912,600,  , TD,37.9N,25.2W,30,1009,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081991,              ERIKA,19910912,1200,  , EX,38.8N,23.3W,30,1011,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081991,              ERIKA,19910912,1800,  , EX,39.5N,21.5W,25,1013,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021972,              AGNES,19720614,1200,  , TD,20.0N,89.0W,25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021972,              AGNES,19720614,1800,  , TD,20.0N,88.7W,25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
